[
{
	class: mt.actors.domain.FighterInfo,
	x: 30,
	y: 30,
	borderFilePath: assets/images/border/5.png,
	camp: 1,
	smallBorderFilePath: assets/images/border/101.png,
	attackInterval: 3.9313164,
	scale: 0.5,
	skillInfos: [
		{
			iconFilePath: assets/images/skills/icon/1.png
		},
		{
			formationIndex: 1,
			iconFilePath: assets/images/skills/icon/2.png
		},
		{
			formationIndex: 2,
			iconFilePath: assets/images/skills/icon/3.png
		},
		{
			formationIndex: 3,
			iconFilePath: assets/images/skills/icon/4.png
		},
		{
			formationIndex: 4,
			iconFilePath: assets/images/skills/icon/5.png
		},
		{
			formationIndex: 5,
			iconFilePath: assets/images/skills/icon/6.png
		}
	],
	smallFighterFilePath: assets/images/fighter/data.dat_000156.png,
	fighterFilePath: assets/images/fighter/156.png
},
{
	class: mt.actors.domain.FighterInfo,
	formationIndex: 1,
	x: 345,
	y: 30,
	borderFilePath: assets/images/border/2.png,
	camp: 1,
	smallBorderFilePath: assets/images/border/102.png,
	attackInterval: 3.3783019,
	scale: 0.5,
	skillInfos: [
		{
			iconFilePath: assets/images/skills/icon/1.png
		},
		{
			formationIndex: 1,
			iconFilePath: assets/images/skills/icon/2.png
		},
		{
			formationIndex: 2,
			iconFilePath: assets/images/skills/icon/3.png
		},
		{
			formationIndex: 3,
			iconFilePath: assets/images/skills/icon/4.png
		},
		{
			formationIndex: 4,
			iconFilePath: assets/images/skills/icon/5.png
		},
		{
			formationIndex: 5,
			iconFilePath: assets/images/skills/icon/6.png
		}
	],
	smallFighterFilePath: assets/images/fighter/data.dat_000157.png,
	fighterFilePath: assets/images/fighter/157.png
},
{
	class: mt.actors.domain.FighterInfo,
	formationIndex: 2,
	x: 70,
	y: 160,
	borderFilePath: assets/images/border/3.png,
	camp: 1,
	smallBorderFilePath: assets/images/border/104.png,
	attackInterval: 2.4229035,
	scale: 0.5,
	skillInfos: [
		{
			iconFilePath: assets/images/skills/icon/1.png
		},
		{
			formationIndex: 1,
			iconFilePath: assets/images/skills/icon/2.png
		},
		{
			formationIndex: 2,
			iconFilePath: assets/images/skills/icon/3.png
		},
		{
			formationIndex: 3,
			iconFilePath: assets/images/skills/icon/4.png
		},
		{
			formationIndex: 4,
			iconFilePath: assets/images/skills/icon/5.png
		},
		{
			formationIndex: 5,
			iconFilePath: assets/images/skills/icon/6.png
		}
	],
	smallFighterFilePath: assets/images/fighter/data.dat_000158.png,
	fighterFilePath: assets/images/fighter/158.png
},
{
	class: mt.actors.domain.FighterInfo,
	formationIndex: 3,
	x: 305,
	y: 160,
	borderFilePath: assets/images/border/4.png,
	camp: 1,
	smallBorderFilePath: assets/images/border/101.png,
	attackInterval: 2.5080614,
	scale: 0.5,
	skillInfos: [
		{
			iconFilePath: assets/images/skills/icon/1.png
		},
		{
			formationIndex: 1,
			iconFilePath: assets/images/skills/icon/2.png
		},
		{
			formationIndex: 2,
			iconFilePath: assets/images/skills/icon/3.png
		},
		{
			formationIndex: 3,
			iconFilePath: assets/images/skills/icon/4.png
		},
		{
			formationIndex: 4,
			iconFilePath: assets/images/skills/icon/5.png
		},
		{
			formationIndex: 5,
			iconFilePath: assets/images/skills/icon/6.png
		}
	],
	smallFighterFilePath: assets/images/fighter/data.dat_000159.png,
	fighterFilePath: assets/images/fighter/159.png
},
{
	class: mt.actors.domain.FighterInfo,
	formationIndex: 4,
	x: 190,
	y: 210,
	borderFilePath: assets/images/border/2.png,
	camp: 1,
	smallBorderFilePath: assets/images/border/104.png,
	attackInterval: 3.7902465,
	scale: 0.5,
	skillInfos: [
		{
			iconFilePath: assets/images/skills/icon/1.png
		},
		{
			formationIndex: 1,
			iconFilePath: assets/images/skills/icon/2.png
		},
		{
			formationIndex: 2,
			iconFilePath: assets/images/skills/icon/3.png
		},
		{
			formationIndex: 3,
			iconFilePath: assets/images/skills/icon/4.png
		},
		{
			formationIndex: 4,
			iconFilePath: assets/images/skills/icon/5.png
		},
		{
			formationIndex: 5,
			iconFilePath: assets/images/skills/icon/6.png
		}
	],
	smallFighterFilePath: assets/images/fighter/data.dat_000161.png,
	fighterFilePath: assets/images/fighter/161.png
}
]
